city,lat,lng,province,country
Cairo,30.0561,31.2394,Al Qāhirah,Egypt
Giza,29.9870,31.2118,Al Jīzah,Egypt
Alexandria,31.2000,29.9167,Al Iskandarīyah,Egypt
6th October city,29.9361,30.9269,Al Jīzah,Egypt
Shubrā al Khaymah,30.1286,31.2422,Al Qalyūbīyah,Egypt
Al Manşūrah,31.0500,31.3833,Ad Daqahlīyah,Egypt
Ḩalwān,29.8419,31.3342,Al Qāhirah,Egypt
Al Maḩallah al Kubrá,30.9667,31.1667,Al Gharbīyah,Egypt
Port Said,31.2500,32.2833,Būr Sa‘īd,Egypt
Suez,29.9667,32.5333,As Suways,Egypt
Ţanţā,30.7833,31.0000,Al Gharbīyah,Egypt
Az Zaqāzīq,30.5667,31.5000,Ash Sharqīyah,Egypt
Ismailia,30.5833,32.2667,Al Ismā‘īlīyah,Egypt
Kafr ad Dawwār,31.1417,30.1272,Al Buḩayrah,Egypt
Damanhūr,31.0500,30.4667,Al Buḩayrah,Egypt
Damietta,31.4167,31.8214,Dumyāţ,Egypt
Shibīn al Kawm,30.5920,30.9000,Al Minūfīyah,Egypt
Banhā,30.4628,31.1797,Al Qalyūbīyah,Egypt
Kafr ash Shaykh,31.1000,30.9500,Kafr ash Shaykh,Egypt
Disūq,31.1308,30.6479,Kafr ash Shaykh,Egypt
Bilbays,30.4167,31.5667,Ash Sharqīyah,Egypt
Mīt Ghamr,30.7192,31.2628,Ad Daqahlīyah,Egypt
Munūf,30.4667,30.9333,Al Minūfīyah,Egypt
Rosetta,31.4014,30.4194,Al Buḩayrah,Egypt
Maţrūḩ,31.3333,27.2333,Maţrūḩ,Egypt
Hihyā,30.6687,31.5904,Ash Sharqīyah,Egypt
Şān al Ḩajar al Qiblīyah,30.9769,31.8800,Ash Sharqīyah,Egypt
Fāraskūr,31.3297,31.7147,Dumyāţ,Egypt
Al Ḩusaynīyah,30.8612,31.9190,Ash Sharqīyah,Egypt
Safājā,26.7517,33.9344,Al Baḩr al Aḩmar,Egypt
Qahā,30.2833,31.2000,Al Qalyūbīyah,Egypt
Hirrīyat Raznah,30.6028,31.5372,Ash Sharqīyah,Egypt
Kafr Shukr,30.5470,31.2673,Al Minūfīyah,Egypt
Sīwah,29.2000,25.5167,Maţrūḩ,Egypt
Shārūnah,28.5940,30.8516,Al Minyā,Egypt
Madinat as-Sadat,30.383366727441985,30.53512881570091,Al Minūfīyah,Egypt
Fayed,30.310783034558956,32.30868801186036,Ismailia,Egypt
Itay Al Barud,30.88381922925288,30.656777204008733,El Beheira,Egypt
Abu Al Matamir,30.9090988082216,30.17302652255928,El Beheira,Egypt
An Nubariyah,30.668867721981993,30.062372207973013,El Beheira,Egypt
10th of Ramadan City,30.282435419398077,31.739503868594248,Ash Sharqīyah,Egypt
El Obour City,30.21431011558344,31.47073631737784,Al Qalyubia,Egypt
El-Qantara el-Sharqîya,30.87268473556138,32.3243998663778,Ismailia,Egypt
Samadun,30.338093093041262,30.95571530793345,Al Minūfīyah,Egypt